hotel_name,hotel_id,n_reviews
Ubud Terrace Bungalows,650820,147
Heliconia Villas,633716,147
Gajah Mina Beach Resort,602865,146
Bali Summer Hotel,308757,146
The Sandi Phala,556743,144
The Layar - Designer Villas and Spa,3853500,144
The Alea Hotel Seminyak,6973897,144
Puri Dalem Hotel,566465,143
AQ-VA Hotel & Villas,4877456,143
Ozz Hotel Kuta,3912004,143
The Grand Bali Nusa Dua,306731,141
Rouge Villas & Spa,3806343,141
Jesen's Inn II,1220427,141
H Sovereign Bali,7147798,140
HARRIS Hotel Raya Kuta Bali,5777203,140
Ubud Inn,678397,140
New Kuta Hotel,1490706,139
Parigata Villas Resort,588409,139
Hotel Puri Rai,1379826,139
Y Resort Ubud,2269728,137
D'Bulakan Boutique Resort Ubud,6848768,136
The Hamsa Resort,2658736,136
Berry Hotel,2085922,135
Palloma Hotel Kuta,3767703,134
Hotel Palm Garden,1153442,131
Berry Biz Hotel,6702945,131
Hotel NEO Seminyak - Petitenget,7084244,130
Cleopatra Beach Bungalows,1509565,129
Ubud Village Hotel,552948,129
The Tusita Hotel,3222634,129
Taman Selini Beach Bungalows,631268,128
Anda Amed Resort,629104,128
Mimpi Resort Tulamben,309162,126
Laghawa Beach Inn,650341,126
Balisandy Resort,655424,126
Melka Excelsior Resort Hotel,668974,126
The Spot Legian,3168128,125
Kumala Hotel,623722,125
The Villas at AYANA Resort,7311692,124
"Mandapa, A Ritz-Carlton Reserve",8293999,124
Fourteen Roses Beach Hotel,1163210,124
Ubud Sari Health Resort,636089,123
Puri Taman Sari,1764391,121
kaMAYA Resort and Villas,309329,120
Alam Puri Art Museum & Resort,446879,120
Batu Belah,675736,120
Sahadewa Resort & Spa,584499,119
Lv8 Resort Hotel,3468404,119
Gustis Garden Bungalows,675604,119
Beach Melati Apartments,662882,118
Siddhartha Ocean Front Resort & Spa,1466090,118
Hu'u Villas Bali,5074244,117
Pondok Bambu,2054960,116
Kinaara Resort,7244252,115
Alam Anda Ocean Front Resort & Spa,776567,115
favehotel Sunset Seminyak,7037911,114
Villa Puri Royan,2109299,113
D'Tunjung Resort & Spa,1833097,112
Rijasa Agung - Bali Ubud Luxury Hotel Resort Villa,614387,111
Sukun Bali Cottages,659522,111
POP! Hotel Hardys Singaraja Square,7204359,111
Seaside Suites Bali,7289453,110
Sandat Glamping Tents,4840711,110
Hotel Amed Cafe,1014178,110
Swiss-Belhotel Petitenget,7353475,109
Grand Sinar Indah Hotel,614386,109
Lovina Beach Hotel,1552295,109
Poinciana Oceanside Resort & Retreat Centre,1154340,108
Mushroom Beach Bungalows,1123084,108
Poh Manis Lembongan,4876861,106
Suriwathi Beach Hotel,1373011,106
"Maxi Hotel, Restaurant & Spa",648926,106
Ubud Heaven Penestanan,4886679,105
Sadeg Lembongan,5061050,105
Pertiwi Bisma 2,4007201,105
Kiss Bali,1835831,105
HARRIS HOTEL Kuta Galleria,7149612,104
Puri Madawi,602869,102
18 Suite Villa Loft,4014390,102
Bali Lovina Beach Cottages,1153839,102
Sandat Hotel Legian,1461821,101
Svarga Loka Resort,6656612,99
Stana Puri Gopa Hotel,317486,99
Adhi Jaya Sunset Hotel,2549430,98
Seminyak Square Hotel,3973333,98
Pandawa All Suite Hotel,5892414,98
Hotel Sorga,1225120,97
Nusa Dua Retreat and Spa,1795297,96
Club Bali Suites,308054,96
Troppo Zone Puri Rama Resort,2009769,96
The Seminyak Village,2105948,96
Pande Permai Bungalows,609333,96
Amarta Beach Inn Bungalows,646195,95
Artini 3 Cottages,647119,95
WakaGangga,501705,94
Villa Markisa,1368360,93
Taman Bebek Resort & Spa,1199875,92
Hawaii Bali Hotel,3563860,92
Nugraha Lovina Bay Resort Hotel,610881,92
Samhita Garden,631955,92
Matahari Terbit Bali Deluxe Bungalows,676888,92
Mega Boutique Hotel,6922600,92
Kerti Beach Inn,1849640,92
MaxOneHotels @ Legian,6515988,91
Rini Hotel,309342,91
Vila Shanti Beach Hotel,1012556,91
Rosani Hotel,648432,90
Sanur Seaview Hotel,3186530,89
Bali Sorgawi Hotel,576982,89
Sari Sanur Resort,584920,89
Everyday Smart Hotel,2182985,89
The Harmony Legian,1544849,89
Rabasta Beach Resort Kuta,6635775,89
Scuba Seraya Resort,941643,88
Taman Rahasia Tropical Sanctuary & Spa,647532,88
Bali Bungalo,1058947,88
The Alit,1163535,88
Dhyana Pura Beach Resort,479531,86
Grand La Villais Hotel,7393609,85
Fourteen Roses Hotel,1154133,85
Royal Villa Jepun,1220880,84
POP! Hotel Nusa Dua,6847515,84
Mahagiri Panoramic Resort & Restaurant,1944623,84
Suka Beach Inn,1650975,84
Bakung Ubud Resort and Villa,8029710,83
Bali Nusa Dua Hotel,6640840,82
Kutabex Beach Front Hotel,7146434,82
Bali Segara Hotel,1163138,82
Life Style Express,1655845,82
Dampati Villas,1826678,81
Awarta Nusa Dua Luxury Villas & Spa,3812838,80
Grand Zuri Kuta Bali,6925763,80
Abangan Bungalow,678622,79
The Adma Umalas,6847513,79
Goodway Hotel & Resort,676894,79
Sal Secret Spot,8472205,78
Cozy Stay,3596074,78
Hotel Sinar Bali,643838,78
The Edge,1846942,77
favehotel Bypass Kuta,3440301,77
Aneka Beach Hotel,308744,77
Rhadana Hotel,3314222,76
Ungasan Hotel & Convention Center,6638513,75
Michi Retreat,1125669,75
NusaBay Menjangan by WHM,498929,75
Sari Beach Hotel,309344,75
Garden View Cottage,983886,74
Bali Sandy Cottages,1647873,74
Simpang Inn,676108,74
Bali Masari Villas & Spa,524403,73
COOEE Bali Reef Resort,588448,73
Natya Hotel Kuta,6200465,73
Bunga Permai Hotel,652884,72
OK Divers Resort & Spa,8070253,72
Merthayasa Bungalows,1238245,72
soulshine bali,2087231,71
Double One Villas,1216143,71
Taman Agung Hotel,785371,70
Wida Hotel,618784,70
I-Villa,6416464,69
Puri Padi Hotel,590449,69
Hotel Horison Jimbaran,6887894,69
Puri Wisata Bungalows,309333,69
The Aroma's of Bali Hotel & Residence,2287273,69
Lavender Luxury Villas & Spa Resort,1486410,68
POP! Hotel Legian Dewi Sri Bali,7263989,68
Anahata Villas & Spa Resort,677557,67
The AGUNG Residence,7099131,67
Hotel Angsoka,1220837,67
Oka7 Bungalow,1234550,67
Ulun Ubud Resort & Spa,309360,67
Villa Pantulan,1174150,66
Holiday Inn Express Bali Raya Kuta,5599917,66
Suris Boutique Hotel,3928340,66
The Haere,5602766,65
Playgrounds Resort,1526310,65
Panorama Hotel,648911,65
Berry Glee Hotel,8737524,64
Puri Mango Hotel,309327,64
Jungle Retreat by Kupu Kupu Barong,7745617,63
7 Bidadari Boutique Hotel,6780502,63
Kunti Villas,1900170,62
Puri Saron Hotel Baruna Beach Cottages Bali,1723050,62
Shunyata Villas Bali,3529797,61
Bali Chaya Hotel,7136566,61
Aqua Villa,2700087,61
Rama Phala Resort & Spa,6887915,61
Primebiz Kuta Hotel,4324296,61
Sadara Boutique Beach Resort,7314387,61
Wawa Wewe I Bungalows,1226002,60
The Graha Cakra Bali Hotel,1220373,60
The Sintesa Jimbaran,8598712,59
Ulu Segara Luxury Suites & Villas,5603572,58
Paragon Suites and Resorts,7037893,58
Bumi Ubud Resort,598215,57
Benoa Beach Front Villas & Spa,584350,57
CK Villas Bali,1572315,56
Pandawa Village Villas,7347967,56
The Visala Boutique Suites Seminyak,8571578,56
Serela Legian Hotel,8482093,56
Hotel Lusa,309063,56
Paradise Palm Beach Bungalows,777208,56
Harrads Hotel Convention and SPA,1575601,56
Sun Royal Hotel,3492533,55
Blue Karma Ubud,8131918,55
Padma Resort Ubud,7907965,55
Horison Hotel Nusa Dua,7620168,54
The Edelweiss Boutique Hotel Kuta,5484977,54
Waringin Homestay,2244618,53
Hotel Puri Tanah Lot,648696,53
Suara Air Luxury Villa Ubud,2097114,52
The Residence Seminyak,1165319,52
Restu Bali Hotel,656543,52
Bali True Living Apartment,7658329,51
Bali Paragon Resort Hotel,7898670,51
Hotel Neo Denpasar,6898021,51
Hotel Segara and Restaurant,1105696,51
The Evitel Resort Ubud,8837379,50
Hardys Rofa Hotel,6783899,50
Horison Sunset Road Bali,7931036,50
Bali Royal Suites Hotel,307564,50
Bali Taman Resort & Spa,308761,49
Puri Bali Hotel,2102946,49
The Ahimsa Estate,1155390,48
Litus Tirta Seminyak,8376864,48
Scape Condotel,920594,48
HARRIS Hotel Denpasar,7640161,48
The Ocean Sunset Villas Ceningan,7733886,47
Al-Isha,3154825,47
Mayura - A Karma Retreat,8591590,47
Quest San Denpasar,7608352,47
Coco Resort Penida,8587291,47
Abian Biu Mansion,662885,47
Aiona Garden of Health,1027853,47
Puri Yuma Hotel,2146229,47
Hotel Asoka City Home,7263974,46
Sekar Nusa Villas,307565,46
The Green Zhurga Suites,3170258,45
Cityzen Renon,3405916,45
Hotel Karthi,588928,45
Bali Grand Sunsets Resort & Spa,2194785,45
M Boutique Hostel,7629624,44
Prana Dewi Mountain Resort,1130006,44
Banyualit Spa n' Resort,1048931,44
Nathan Hotel,677958,44
Naya Ubud,7149594,43
Resort Relax Bali,2244626,43
Watermark Hotel & Spa,8113334,43
The Shaba Bali,1069761,43
Amaris Hotel Pratama Nusa Dua - Bali,4323738,43
Langon Bali Resort & Spa,1146761,43
Padangbai Beach Homestay,1887580,43
Ayu Guna Inn,3170454,42
The Rishi Candidasa Beach Hotel,2350943,42
Golden Tulip Essential Denpasar,6588320,41
Suarga Padang Padang,8749870,41
The Rani Hotel & Spa,7745612,41
Savvoya Hotel Seminyak,8059939,41
Puri Dalem Cottages,729414,41
Hotel Alit's Beach,656283,40
Peninsula,1159042,40
Kusuma-Jaya-Indah Resort,1972005,40
Aneka Bagus Pemuteran Resort & Spa,584791,40
Abian Srama Hotel and Spa,2509699,40
HOTEL MARIA,2294641,40
Taman Rosani Hotel & Villa,577468,38
Oka Kartini Bungalows,309205,38
Sunset Residence Condotel,1384137,38
Serangan Inn II,1194569,37
Relax Beach Resort Candidasa,7797065,36
Inna Bali Heritage Hotel,309166,36
Dewi Sri Bungalows,308779,36
Fibra Inn And Bungalows,1162158,36
Bagus Hayden Hotel,2271469,36
Mastapa Garden Hotel,596533,36
LA Inn,909798,36
Nirmala Hotel,676217,35
Kajeng Bungalows,1221034,35
Q Hotel Bali,2698063,35
Graha Resort,301339,35
Sanda Butik Villas,602868,33
Grya Sari - the Bali Hot Springs Hotel,1519206,32
The White Villas Ubud,3581207,32
Tjendana Villas,6886499,32
Le Jardin de Marie,1790423,32
Bali Matahari Hotel,648132,32
Hotel Dewi Sinta,1650012,32
Bali Diamond Villas,2259866,31
Crystal Kuta Hotel,8322300,31
MaxoneHotels.com @ Seminyak,8523268,31
Palm Beach International Hotel,631190,31
Sari Bunga Hotel,1061775,30
Holiway Garden Resort & Spa,2390729,30
POP! Hotel Denpasar,7204328,30
Hotel Jati & Home Stay,1464185,29
Puri Saron Hotel,585133,29
Lexington Klapa Resort,7785478,28
Amaris Hotel Sunset Road,6428204,28
Kubu Bali Hotel,557514,28
Mars City Hotel,5485082,28
Balira Guest House,1220418,28
De Moksha Boutique Resort,8608288,27
Montigo Resorts Seminyak,8658865,27
Budhi Ayu Villa,7396471,27
Balian Paradise Resort,7269030,27
Saranam Eco Resort Bali,590612,27
Bali Relaxing Resort & Spa,2458763,27
Bali Village Hotel,661312,27
The Seventh Seal Retreat,7274673,26
Duo Legian Hotel,7692422,26
Kedisan Resort & Resto Apung,2251263,26
Palm Beach Hotel Bali,6428000,26
Athena Garden Villa,627504,26
Pendawa Hotel,589257,26
The Rich Prada Hotel Bali,3318804,26
Ceningan Resort,8272759,25
Nusa Indah Bungalows,1907354,25
Amaris Hotel Dewi Sri,6620056,25
Enjung Beji Resort,1203857,25
The Leaf Jimbaran,8566314,24
Di Abian Resort,2686867,24
Vansari Hotel Seminyak,8797397,23
Padmasari Resort Lovina,8453992,23
Amaris Hotel Lebak Bene - Kuta,8073197,23
Padang-padang Inn,1804729,23
Balita Inn Hotel,1545983,23
Semawang Beach Hotel,1572296,23
Villa Asante Bali,1195698,22
Jepun Segara Guest house,7785479,22
Sanctuario Bali,1062567,22
Villa Poppy,602653,22
Ubud Raya Hotel,8498175,22
Letos Kubu,2183202,22
Losari Sunset Hotel,3930880,22
Agung & Sue Watering Hole II,1224975,22
Villa Babar,2457193,21
Alami Resort and Restaurant,7037887,21
Samudra Homestay,3386649,21
Villa Andaman,1866984,20
Hotel Flamboyan,648139,20
Balangan Garden Bungalow,2698045,20
Bali Wirasana Hotel,1573261,20
Hotel Ratna,656286,20
Ibis Styles Bali Petitenget,9781727,19
The Sunjaya,8559664,19
7 Days Premium Kuta Bali,8365496,19
Bali Ra Airport Hotel,3594862,18
Starling Villas Bali,1807413,18
Bali Elements,1473311,18
Blue Ocean,1194035,18
Bali Eco Resort and Adventure,1906695,17
Nalini Resort,8754850,17
Villa D'Bisma,7380366,17
Hotel My Lovina,5279867,17
Puri Dibia Hotel,656433,17
d'Alang - Alang Villas,626916,16
Holiday Inn Resort Baruna Bali,309108,16
The Apartments Umalas,8720774,16
VIDI Boutique Hotel,6848462,16
Ida Beach Village,1204133,16
The Grand Santhi Hotel,1494516,16
My Dream Resort and Spa,8152718,16
Taman Suci Hotel,309117,16
Gita Maha Hotel,7395999,15
Dasa Wana Resort,3176306,15
Hotel Mahendra,1531909,15
Kendi Mas Hotel,1220430,15
Two Fish Divers Resort,7224143,14
Echo Beach Resort,7491435,14
TZ Party Hostel,8779535,14
Amaris Hotel Teuku Umar,7149657,14
Hotel Bali Kembali,1164151,14
Puri Bagus Manggis,526791,13
Coast Boutique Apartments,8641763,13
Goya Boutique Resort,9454181,13
Hotel Santika Seminyak,8873258,13
Cozy Stay Simpang Enam,8408326,13
Jimbaran Hills Resort & Spa,650407,13
Gita Homestay,7622562,12
The Salak Hotel,7734185,12
favehotel Tohpati,7891925,12
Taman Sari Cottage II,1220827,12
Hotel Sanur Indah,1220845,12
Safin Inn Harmony,7693752,12
Bali Holiday Resort,545814,12
Mustika Sari Beach Hotel,1163442,12
Puri Etnik Hotel,672138,12
Tijili Seminyak,9705452,11
Patal Kikian,1913536,11
Arnava Ninety 8 Hotel,8613783,11
Melody Bali Hotel,7376488,11
Respati Bali Bougainville Garden,1530482,11
The Replica Suite,1071179,11
Padi Prada,623542,11
Candidasa Beach Hotel,1163171,10
Hotel Puri Nusantara,6522135,10
Wina Cottage,1180269,10
Asri Jewel Villas & Spa,681376,10
Nusa Indah Hotel and Spa,1220406,10
Mahatma Residence,8404164,9
Umah Pelangi,7608354,9
Villa Sebali,2633427,9
Toya Devasya Natural Hot Spring & Camping Resort,9563643,9
Rumah Siam Boutique Hotel,2401364,9
Prani Legian Hotel,648133,9
Plataran Menjangan,8555912,8
Bali Caps Hostel,8326583,8
Hotel Bayt Kaboki,8022556,8
Su's Prince Hotel And Cottages,1155357,8
Grand Puncak Sari Hotel,8532138,8
Hotel Nikki,2454669,8
Casa Indigo,1172870,8
Ashram Home Stay-Hotel,1217425,8
ASMARA Heavenly Residence Nusa Dua,681370,7
Tuban Torres,8504677,7
Nyaman Guest House,8845566,7
Ananda Boutique Resort And Spa,1220447,7
Puri Asri Petulu,1135405,7
Elbari Villas,1728670,7
Bali Coconut Hotel,1014389,7
Oranjje Hotel,309116,7
Ubud City Hotel,9559082,6
Hideaway Villas Bali,9459085,6
Mayo Resort,8471635,6
Seminyak Villa Ocean Eleven,6890592,6
Taman Sari Villas & Spa,677041,6
Casablanca Suite,3342330,6
Gunakaya Homestay,2244664,6
Princess Nusa Dua Resort,1213279,6
Hardy's Hotel Wirapada,6765873,6
Kuta Bungalows,1017990,6
Santosa City Hotel,2180541,6
Shipwrecks Beach Resort G5,8050443,5
Artha Agung Resort and Restaurant,6876693,5
Grand Pondok Puri Ayu,6370381,5
Simona Oasis & Spa,1907431,5
Villa Ahn,2633423,5
Hotel Hapel Semer,648922,5
Catur Adi Putra Hotel by Shailendra,6938467,5
Bungadesa Villas,1162140,5
Bali Prani Hotel,649612,5
Mimosa Jimbaran Bali Villa,1872633,5
Uluwatu Resort,633540,5
GRAND CHANDRA HOTEL,2513488,5
Grand la Walon Hotel,9761888,4
Felicianas Resort Bali,4990854,4
Sylvia Bali Suite Residence,8566917,4
Kesumasari Hotel,1162184,4
Bali Merita Villa & Spa,648292,4
Grand City Inn Hotel,2434039,4
Sahid Raya Bali,557528,4
Mondo Lifestyle Resort,9764304,3
Tejaprana Resort & Spa,9764334,3
Melaya Beach Resort,7146536,3
Grand Mirah Boutique Hotel,8778652,3
BudhaStay,8621147,3
Kuta Cottages,1213292,3
Hotel Ida Candidasa,3350734,3
BaliWood Resort,2194121,3
Puri Santai Bali,2688107,3
Putri Bali Villa,648135,3
Villa One,7159970,3
Lor-in Villa Resort Saba Bai,308532,3
Yuri's Apartment,7974314,3
Jepun Bali Resort,522589,3
Bagus Home Stay,1763722,3
Emerald Tulamben Beach Hotel,308780,3
Chez Bali Villa & Spa,585126,3
Apartments @ AYANA Residences,8476953,3
The Grand Bali Park Hotel,6205366,3
Cempaka Lovina Hotel,2267557,3
Bedrock Hotel Bali,9793081,2
d'Nusa Beach Club and Resort,8766141,2
STEP Ubud Training Hotel,8591536,2
Bahagia Villas,8948541,2
The Black Pearl,7376480,2
Amanda Resort,1204089,2
Palm Garden Kuta,8523151,2
The Jetty Resort,6765759,2
Balicamp Villa and Resort,7204310,2
Pakir Bungalows,1175220,2
Laelia Private Resort Bali,3186122,2
Bali Mega Hotel,7622223,2
Resor Seminyak Hotel,3478696,2
Hilton Garden Inn Bali Ngurah Rai Airport,6937596,2
Kubu Saren,1163407,2
Sayang Residence 1,2031281,2
Mahajaya Tower Hotel & Restaurant,3199918,2
Alam Villa,678368,2
"Harrads Hotel, Spa & Convention",8134436,2
Jimbarwana Hotel,3228728,2
Bukit Inn,308775,2
Ratna Beach Hotel,1179977,2
Kara Residence,7720189,2
The Kahyangan Spa,3892535,1
Kampung Canggu,10037007,1
Radha Phala Resort & Spa,9777191,1
Pondok Pudak Sari,9851231,1
Alam Mimpi Resort Penuktukan,9792387,1
Sama Sama Suites & Restaurant,9734226,1
Tjendana Paradise,317842,1
Macskot Hostel Bali,8587290,1
Centara Wuku Resort & Spa Bali,6614699,1
Meritus Pecatu Bali,6882689,1
Intan Bali Village,450834,1
Mimpi Resort Jimbaran,1204817,1
Saphir Bali Hotel,450854,1
Katamama,8826648,1
Premium Legian,9787769,1
Hotel Bualu,1162172,1
Padi Teras Boutique Hotel,7376251,1
Hotel Puri Nusa Indah 3,3188779,1
U Sameera Pecatu Bali,7176590,1
Capcamcamp,7084311,1
Coconut Grove Village,1163177,1
Puri Dewa Bharata Jimbaran Hotel,3187353,1
Bali Surf Camp,2017761,1
Willis Hill Resort,6550055,1
Balina Beach Bungalows,308764,1
Lor-in Saba Bai,1383078,1
The Serai,1238259,1
Hotel Amerta,6220472,1
Bunga Bali Resort & Spa,2073687,1
Villa Elang,634353,1
The Kalaspa,1203876,1
Legian Garden Cottage,1168501,1
Charlie Brown Surf Stay,10001205,1
Shunda Hotel,6205420,1
Lestari Hotel,8008835,1
Perdana Dadi Hotel,648141,1
Villa Isabella Bali,667632,1
Sayang Residence 2,2031282,1
Bingin Family Bungalows,8779790,1
Amalfi Hotel Seminyak,10060711,1
Sea Medewi Resort,9750838,0
Jimbaran Lestari Culture Villas & Spa,9087405,0
The Bandha Hotel & Spa,9978040,0
ACE Hotel,10059803,0
La Bercuse Bali,9560094,0
Pondok Impian,1163473,0
Puri Ratih Bali,1163495,0
Hotel Opal Legian,450833,0
Surya Dharma Cottages,1220954,0
The Lilliput Resort and Spa,7905585,0
Wana Villas & Beach Resort,1163594,0
Siesta Legian Hotel,9986385,0
Century Mabisa Inn,1180096,0
Geria Agung Mahajaya Hotel,2687475,0
Bali Entrepreneurs Resort,8389339,0
Villa Sehati,623252,0
Murni's House,9454165,0
Sapodilla Ubud,10036165,0
Taman Sari Suite Hotel,1213289,0
Martan Resort Bali,8790790,0
Bali Japan Village,8627007,0
Hotel Ubud,2048971,0
Villa Paddy River Bali,8864771,0
Jambuluwuk Seminyak Boutique Hotel,9634828,0
Banjar Villas and Spa Hotel Bali,1213903,0
Ibis Bali Legian Street,10077850,0
Hotel HaPel Beach Resort,648942,0
Kawas Fitness & Spa Hotel,3491680,0
Tree House Villa,9808189,0
Club Residence,1190522,0
Y Resort,9792112,0
Hotel Indigo Bali Seminyak Beach,9595791,0
Golden Tulip Jineng Resort,7392064,0
Duwur Beji,8432632,0
Hotel Novotel Bali Ngurah Rai Airport,7646166,0
The Ayudya Ulun Suan,8776941,0
Trump International Hotel Bali,9596957,0
Sri Kusuma Hotel & Bungalows,676109,0
Alamanda Town House By Gamma Hospitality,10047911,0
Masari,1208968,0
Kila Infinity8,8737544,0
The Edelweiss Ultimo Canggu,9794415,0
Swarhaloka Residence,10024441,0
The Queen Hotels,5485856,0
Grand Mirah,8787265,0
Golden Tulip Bay View Hotel,10065563,0
RedDoorz @ By Pass Nusa Dua,9778702,0
Kamarkoe Homestay,9721732,0
Muka House,8394539,0
Padma Indah Cottages,309208,0
Bali Dwira Hotel,3422330,0
Hotel Made Bali,9697385,0
Wephadma Resort,8862074,0
Maha Laksmi Boutique Hotel,9706068,0
ZenRooms RaBaSTa Angkul,10001236,0
WG Hotel Jimbaran,9698154,0
Sonni Puteri Galeria Bali Hotel,1203896,0
ARTOTEL Sanur,10034774,0
The Balangan Resort Hotel,1220380,0
Agung Beach Bungalows,1204084,0
